"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2019","120.19","117.42","121.95","112.66","298.44K","2.29%"
"Jan 21, 2019","117.50","119.04","120.09","114.98","207.94K","-1.29%"
"Jan 20, 2019","119.04","125.98","126.61","117.63","370.73K","-5.52%"
"Jan 19, 2019","126.00","121.88","131.69","121.88","284.97K","3.43%"
"Jan 18, 2019","121.82","125.10","125.58","120.27","146.72K","-2.74%"
"Jan 17, 2019","125.25","124.46","126.94","119.52","258.91K","0.73%"
"Jan 16, 2019","124.35","122.70","131.29","121.83","300.50K","1.34%"
"Jan 15, 2019","122.70","131.45","133.67","119.80","359.96K","-6.66%"
"Jan 14, 2019","131.45","117.94","134.41","117.80","380.58K","11.46%"
"Jan 13, 2019","117.93","127.41","127.65","116.11","245.76K","-7.44%"
"Jan 12, 2019","127.41","128.76","130.25","126.31","142.55K","-1.04%"
"Jan 11, 2019","128.75","129.53","131.79","124.98","281.06K","-0.58%"
"Jan 10, 2019","129.50","152.80","154.32","125.82","684.78K","-15.17%"
"Jan 09, 2019","152.65","152.85","159.08","151.34","291.78K","-0.13%"
"Jan 08, 2019","152.85","154.77","157.20","150.54","394.30K","-1.30%"
"Jan 07, 2019","154.87","160.74","162.49","153.46","194.38K","-3.71%"
"Jan 06, 2019","160.84","158.32","164.35","154.13","507.03K","1.59%"
"Jan 05, 2019","158.32","158.73","166.62","157.59","500.83K","-0.22%"
"Jan 04, 2019","158.67","152.44","162.07","150.51","553.20K","4.10%"
"Jan 03, 2019","152.42","159.51","160.78","150.02","329.59K","-4.35%"
"Jan 02, 2019","159.36","145.07","163.14","144.26","566.33K","10.02%"
"Jan 01, 2019","144.84","136.00","148.00","134.85","392.26K","6.50%"
"Dec 31, 2018","136.00","144.20","144.44","133.28","378.10K","-5.69%"
"Dec 30, 2018","144.20","139.82","145.18","135.25","443.22K","3.13%"
"Dec 29, 2018","139.82","142.11","153.00","136.29","684.93K","-1.87%"
"Dec 28, 2018","142.49","118.59","143.65","117.10","758.23K","20.07%"
"Dec 27, 2018","118.68","134.58","135.64","116.40","685.99K","-11.86%"
"Dec 26, 2018","134.64","132.99","141.30","127.50","554.95K","1.23%"
"Dec 25, 2018","133.00","142.58","143.50","125.37","860.10K","-6.85%"
"Dec 24, 2018","142.78","133.76","163.50","133.48","1.28M","6.74%"
"Dec 23, 2018","133.76","120.49","137.16","120.49","670.29K","10.88%"
"Dec 22, 2018","120.64","111.37","120.81","108.87","353.77K","8.32%"
"Dec 21, 2018","111.37","118.47","122.27","108.66","624.64K","-5.99%"
"Dec 20, 2018","118.47","102.37","119.49","102.00","808.69K","15.68%"
"Dec 19, 2018","102.41","104.10","110.90","101.80","662.72K","-1.56%"
"Dec 18, 2018","104.03","97.33","104.24","94.51","446.95K","6.88%"
"Dec 17, 2018","97.33","86.56","100.39","86.22","535.79K","12.45%"
"Dec 16, 2018","86.56","85.71","89.94","85.57","307.45K","0.95%"
"Dec 15, 2018","85.74","85.06","86.69","83.20","220.40K","0.63%"
"Dec 14, 2018","85.20","87.90","88.50","83.67","320.71K","-3.07%"
"Dec 13, 2018","87.90","91.82","92.92","86.06","324.36K","-4.34%"
"Dec 12, 2018","91.89","89.14","94.06","88.18","315.56K","3.08%"
"Dec 11, 2018","89.14","92.21","94.15","87.34","327.08K","-3.32%"
"Dec 10, 2018","92.20","95.90","97.60","90.45","320.27K","-3.99%"
"Dec 09, 2018","96.03","92.74","102.11","90.69","436.84K","3.55%"
"Dec 08, 2018","92.74","94.86","99.88","85.76","581.46K","-2.16%"
"Dec 07, 2018","94.78","91.80","98.68","83.00","1.21M","3.24%"
"Dec 06, 2018","91.81","102.66","105.16","91.47","754.71K","-10.36%"
"Dec 05, 2018","102.42","110.77","111.27","102.21","362.97K","-7.54%"
"Dec 04, 2018","110.77","109.23","114.83","107.02","303.15K","1.42%"
"Dec 03, 2018","109.22","117.12","117.40","106.93","320.09K","-6.56%"
"Dec 02, 2018","116.88","119.50","121.99","116.64","183.58K","-2.39%"
"Dec 01, 2018","119.75","113.63","122.71","111.77","360.58K","5.34%"
"Nov 30, 2018","113.68","118.52","120.64","112.12","480.25K","-4.01%"
"Nov 29, 2018","118.43","124.88","124.88","115.28","465.38K","-4.54%"
"Nov 28, 2018","124.06","112.55","127.85","112.05","685.99K","11.00%"
"Nov 27, 2018","111.77","110.03","114.29","103.03","608.91K","1.18%"
"Nov 26, 2018","110.47","118.94","121.18","107.08","797.68K","-7.04%"
"Nov 25, 2018","118.83","114.99","121.10","103.51","1.18M","3.03%"
"Nov 24, 2018","115.33","125.07","129.61","111.97","577.65K","-7.91%"
"Nov 23, 2018","125.24","126.27","128.40","120.00","675.20K","-1.71%"
"Nov 22, 2018","127.42","138.55","140.18","127.18","349.52K","-7.87%"
"Nov 21, 2018","138.31","134.04","141.39","127.63","834.37K","2.72%"
"Nov 20, 2018","134.65","151.14","154.17","128.15","1.50M","-11.06%"
"Nov 19, 2018","151.40","178.80","178.80","148.48","930.87K","-15.40%"
"Nov 18, 2018","178.95","176.40","182.00","176.20","151.57K","1.73%"
"Nov 17, 2018","175.90","176.99","177.52","174.22","99.38K","-0.77%"
"Nov 16, 2018","177.26","183.54","184.66","173.82","301.04K","-3.80%"
"Nov 15, 2018","184.27","187.20","189.31","172.06","534.86K","-0.88%"
"Nov 14, 2018","185.90","209.85","211.25","177.61","856.09K","-11.54%"
"Nov 13, 2018","210.14","212.71","213.36","209.18","115.63K","-1.21%"
"Nov 12, 2018","212.71","213.91","214.25","210.78","92.71K","-0.13%"
"Nov 11, 2018","212.99","213.20","213.68","209.05","89.76K","-0.10%"
"Nov 10, 2018","213.20","210.83","215.53","210.53","67.05K","1.04%"
"Nov 09, 2018","211.01","212.70","215.36","209.59","76.54K","-0.82%"
"Nov 08, 2018","212.76","218.99","220.52","212.76","107.04K","-2.84%"
"Nov 07, 2018","218.99","220.87","225.00","217.28","238.74K","-0.84%"
"Nov 06, 2018","220.85","210.89","221.03","209.19","199.59K","4.72%"
"Nov 05, 2018","210.89","212.53","212.68","207.92","110.75K","-0.56%"
"Nov 04, 2018","212.08","200.31","218.34","199.04","246.58K","5.99%"
"Nov 03, 2018","200.10","202.23","202.49","199.21","56.64K","-1.05%"
"Nov 02, 2018","202.23","199.87","203.50","199.86","101.69K","1.25%"
"Nov 01, 2018","199.73","199.14","200.21","198.05","49.92K","0.52%"
"Oct 31, 2018","198.70","197.32","200.05","193.24","128.40K","0.59%"
"Oct 30, 2018","197.54","196.91","198.40","195.97","75.04K","0.32%"
"Oct 29, 2018","196.91","205.12","205.37","195.77","173.71K","-3.93%"
"Oct 28, 2018","204.96","204.23","205.51","203.84","43.06K","0.36%"
"Oct 27, 2018","204.23","205.11","205.75","203.11","37.48K","-0.39%"
"Oct 26, 2018","205.03","204.09","208.08","203.46","158.09K","0.66%"
"Oct 25, 2018","203.69","205.11","205.79","202.90","65.61K","-0.76%"
"Oct 24, 2018","205.24","205.89","207.87","205.18","83.33K","-0.32%"
"Oct 23, 2018","205.90","206.55","207.70","202.81","116.46K","-0.13%"
"Oct 22, 2018","206.16","207.02","208.74","205.36","74.23K","-0.56%"
"Oct 21, 2018","207.32","208.15","211.24","207.10","87.01K","-0.41%"
"Oct 20, 2018","208.16","204.77","209.68","203.60","90.81K","1.59%"
"Oct 19, 2018","204.90","206.12","207.25","204.00","136.34K","-0.57%"
"Oct 18, 2018","206.08","213.00","214.67","203.90","187.51K","-3.21%"
"Oct 17, 2018","212.92","214.85","216.70","210.31","105.70K","-1.02%"
"Oct 16, 2018","215.12","213.59","218.40","211.49","136.36K","0.53%"
"Oct 15, 2018","213.99","195.58","238.85","194.50","967.31K","8.72%"
"Oct 14, 2018","196.83","201.28","203.20","195.20","166.03K","-2.19%"
"Oct 13, 2018","201.23","196.85","202.58","196.85","134.53K","2.14%"
"Oct 12, 2018","197.02","191.52","201.20","189.98","292.02K","3.07%"
"Oct 11, 2018","191.16","226.48","226.48","190.08","657.53K","-15.68%"
"Oct 10, 2018","226.70","228.63","228.63","224.04","152.86K","-0.79%"
"Oct 09, 2018","228.51","230.57","231.02","227.15","109.38K","-0.73%"
"Oct 08, 2018","230.20","226.90","232.36","224.20","247.53K","1.75%"
"Oct 07, 2018","226.23","225.21","227.51","221.76","102.43K","0.41%"
"Oct 06, 2018","225.31","228.44","229.00","223.29","106.61K","-1.46%"
"Oct 05, 2018","228.65","222.58","233.00","219.76","201.59K","2.86%"
"Oct 04, 2018","222.30","220.68","227.19","219.60","186.79K","0.70%"
"Oct 03, 2018","220.74","225.79","226.48","215.74","274.97K","-2.31%"
"Oct 02, 2018","225.97","231.49","232.26","224.69","132.13K","-2.38%"
"Oct 01, 2018","231.48","233.70","235.13","225.35","180.64K","-0.55%"
"Sep 30, 2018","232.75","231.33","238.92","226.27","312.40K","0.29%"
"Sep 29, 2018","232.08","221.11","237.24","213.00","478.41K","4.54%"
"Sep 28, 2018","222.01","229.29","233.54","214.88","484.34K","-3.18%"
"Sep 27, 2018","229.29","214.24","232.66","210.60","377.34K","6.93%"
"Sep 26, 2018","214.44","219.26","222.61","207.32","412.70K","-1.85%"
"Sep 25, 2018","218.48","227.84","227.84","203.52","691.87K","-4.11%"
"Sep 24, 2018","227.85","243.48","245.90","225.39","402.79K","-6.89%"
"Sep 23, 2018","244.70","240.99","249.44","237.39","248.22K","1.54%"
"Sep 22, 2018","241.00","251.91","254.90","233.31","346.30K","-2.74%"
"Sep 21, 2018","247.80","227.00","251.82","221.62","712.19K","9.65%"
"Sep 20, 2018","226.00","210.01","229.44","207.05","452.53K","7.71%"
"Sep 19, 2018","209.83","208.52","214.08","196.00","630.69K","0.49%"
"Sep 18, 2018","208.80","195.61","214.37","194.07","595.19K","6.18%"
"Sep 17, 2018","196.65","222.10","224.83","192.55","968.38K","-10.68%"
"Sep 16, 2018","220.16","221.48","223.57","204.12","375.94K","-0.66%"
"Sep 15, 2018","221.63","208.50","227.65","208.33","454.09K","5.76%"
"Sep 14, 2018","209.56","212.20","223.43","203.11","822.42K","-0.53%"
"Sep 13, 2018","210.67","183.38","215.00","183.38","857.54K","14.99%"
"Sep 12, 2018","183.21","184.97","184.99","167.72","744.43K","-1.10%"
"Sep 11, 2018","185.24","199.01","199.17","178.00","469.07K","-5.92%"
"Sep 10, 2018","196.89","195.98","202.74","187.00","350.63K","0.42%"
"Sep 09, 2018","196.06","197.30","208.37","185.41","420.73K","-0.29%"
"Sep 08, 2018","196.63","215.83","219.89","190.96","376.26K","-8.72%"
"Sep 07, 2018","215.40","229.72","234.37","213.79","305.53K","-6.26%"
"Sep 06, 2018","229.79","228.77","232.11","211.71","525.14K","0.71%"
"Sep 05, 2018","228.18","285.35","287.97","226.70","593.27K","-19.98%"
"Sep 04, 2018","285.17","289.27","293.00","282.72","170.22K","-1.42%"
"Sep 03, 2018","289.28","295.85","296.27","286.19","125.40K","-1.70%"
"Sep 02, 2018","294.27","295.73","299.42","289.56","127.05K","-0.49%"
"Sep 01, 2018","295.72","281.84","302.17","281.84","206.00K","4.91%"
"Aug 31, 2018","281.87","284.10","284.88","276.41","142.43K","-0.84%"
"Aug 30, 2018","284.25","288.76","291.01","272.45","216.13K","-1.68%"
"Aug 29, 2018","289.10","295.60","297.01","284.35","150.49K","-2.20%"
"Aug 28, 2018","295.59","288.17","297.98","282.83","180.50K","2.59%"
"Aug 27, 2018","288.12","274.33","288.12","271.71","159.85K","5.03%"
"Aug 26, 2018","274.33","277.28","277.64","269.44","113.45K","-1.07%"
"Aug 25, 2018","277.29","281.28","283.04","276.73","79.04K","-1.43%"
"Aug 24, 2018","281.30","275.86","283.12","270.20","111.68K","1.97%"
"Aug 23, 2018","275.86","270.50","280.30","268.28","154.46K","2.07%"
"Aug 22, 2018","270.26","281.25","299.33","259.28","333.34K","-3.97%"
"Aug 21, 2018","281.42","270.55","286.24","269.88","151.94K","3.92%"
"Aug 20, 2018","270.80","299.21","304.08","269.45","210.05K","-9.54%"
"Aug 19, 2018","299.37","294.30","306.45","288.65","154.97K","1.72%"
"Aug 18, 2018","294.30","317.68","321.10","282.78","216.90K","-7.31%"
"Aug 17, 2018","317.51","286.86","318.63","285.32","293.81K","10.66%"
"Aug 16, 2018","286.92","281.07","298.95","278.01","195.61K","2.01%"
"Aug 15, 2018","281.27","278.50","304.30","277.11","386.13K","1.11%"
"Aug 14, 2018","278.17","283.93","283.93","250.80","447.66K","-2.03%"
"Aug 13, 2018","283.92","318.17","322.86","280.81","320.35K","-10.76%"
"Aug 12, 2018","318.16","317.84","327.32","314.26","123.15K","0.13%"
"Aug 11, 2018","317.76","331.71","332.52","305.06","261.39K","-4.19%"
"Aug 10, 2018","331.65","363.27","365.60","326.22","170.12K","-8.69%"
"Aug 09, 2018","363.21","356.17","369.94","350.83","129.44K","2.13%"
"Aug 08, 2018","355.62","377.82","380.24","348.17","307.73K","-5.88%"
"Aug 07, 2018","377.82","404.86","410.49","368.75","190.72K","-6.74%"
"Aug 06, 2018","405.13","408.75","413.57","401.15","45.62K","-0.89%"
"Aug 05, 2018","408.75","407.06","413.38","399.75","89.02K","0.43%"
"Aug 04, 2018","407.00","417.66","419.00","401.70","107.43K","-2.57%"
"Aug 03, 2018","417.72","410.90","419.66","397.99","148.12K","1.66%"
"Aug 02, 2018","410.89","420.08","424.63","407.69","78.96K","-2.18%"
"Aug 01, 2018","420.03","432.17","434.93","407.75","182.07K","-2.69%"
"Jul 31, 2018","431.65","456.60","457.56","427.51","149.00K","-5.47%"
"Jul 30, 2018","456.65","466.47","469.40","446.68","133.40K","-2.11%"
"Jul 29, 2018","466.47","469.14","472.15","461.39","42.39K","-0.66%"
"Jul 28, 2018","469.56","470.24","471.67","461.35","44.40K","-0.14%"
"Jul 27, 2018","470.21","462.29","474.28","456.64","108.98K","1.71%"
"Jul 26, 2018","462.30","471.88","484.50","460.00","87.41K","-2.03%"
"Jul 25, 2018","471.89","479.32","485.22","464.28","94.99K","-1.64%"
"Jul 24, 2018","479.77","449.47","484.51","448.62","166.83K","6.79%"
"Jul 23, 2018","449.26","457.41","470.20","446.57","158.18K","-1.91%"
"Jul 22, 2018","457.99","460.75","471.88","455.00","65.14K","-0.60%"
"Jul 21, 2018","460.74","449.14","468.30","441.59","99.66K","2.58%"
"Jul 20, 2018","449.13","468.63","469.50","439.95","170.21K","-4.16%"
"Jul 19, 2018","468.64","478.97","484.31","462.69","139.42K","-2.15%"
"Jul 18, 2018","478.96","499.35","515.28","469.17","194.02K","-4.04%"
"Jul 17, 2018","499.11","478.71","511.33","466.04","190.93K","4.18%"
"Jul 16, 2018","479.09","450.00","480.60","445.17","205.39K","6.49%"
"Jul 15, 2018","449.90","433.51","455.22","431.19","82.15K","3.78%"
"Jul 14, 2018","433.50","432.17","439.85","427.90","71.14K","0.31%"
"Jul 13, 2018","432.16","430.90","442.15","424.41","104.05K","0.27%"
"Jul 12, 2018","430.99","445.53","445.71","417.80","136.87K","-3.18%"
"Jul 11, 2018","445.14","432.70","447.00","424.88","112.40K","2.95%"
"Jul 10, 2018","432.39","471.56","473.09","427.05","254.29K","-8.30%"
"Jul 09, 2018","471.55","486.09","487.89","468.79","111.26K","-2.99%"
"Jul 08, 2018","486.10","486.75","495.34","482.56","109.84K","-0.13%"
"Jul 07, 2018","486.71","470.37","488.70","461.85","119.51K","3.51%"
"Jul 06, 2018","470.19","467.52","476.20","451.75","133.85K","0.43%"
"Jul 05, 2018","468.18","467.47","478.54","458.30","189.42K","0.15%"
"Jul 04, 2018","467.46","462.01","481.68","451.54","143.95K","1.23%"
"Jul 03, 2018","461.78","476.80","487.06","459.91","160.61K","-3.15%"
"Jul 02, 2018","476.79","452.02","482.04","443.10","186.41K","5.48%"
"Jul 01, 2018","452.03","454.19","456.93","443.10","81.75K","-0.40%"
"Jun 30, 2018","453.85","435.70","463.10","435.70","171.42K","4.17%"
"Jun 29, 2018","435.70","420.78","442.71","405.00","231.79K","3.55%"
"Jun 28, 2018","420.78","441.65","443.49","417.73","148.35K","-4.73%"
"Jun 27, 2018","441.66","429.32","446.75","419.45","187.47K","2.83%"
"Jun 26, 2018","429.51","459.01","461.40","429.11","183.01K","-6.42%"
"Jun 25, 2018","459.00","455.00","473.57","445.34","186.20K","0.81%"
"Jun 24, 2018","455.32","473.60","475.48","421.00","282.23K","-3.83%"
"Jun 23, 2018","473.47","462.12","480.64","454.44","122.71K","2.53%"
"Jun 22, 2018","461.77","526.10","526.11","449.00","335.14K","-12.23%"
"Jun 21, 2018","526.11","536.30","545.30","521.91","93.37K","-1.89%"
"Jun 20, 2018","536.26","537.84","542.07","517.01","137.77K","-0.41%"
"Jun 19, 2018","538.47","517.73","548.31","515.11","166.36K","4.02%"
"Jun 18, 2018","517.64","496.70","524.42","487.36","135.52K","4.45%"
"Jun 17, 2018","495.60","496.78","507.71","493.50","76.26K","-0.29%"
"Jun 16, 2018","497.02","487.34","503.04","483.74","115.27K","2.00%"
"Jun 15, 2018","487.27","520.09","520.85","482.73","208.59K","-6.24%"
"Jun 14, 2018","519.69","476.40","526.07","459.68","389.72K","9.14%"
"Jun 13, 2018","476.15","493.74","501.11","450.11","338.36K","-3.66%"
"Jun 12, 2018","494.25","530.87","540.00","483.97","263.83K","-6.88%"
"Jun 11, 2018","530.78","523.00","535.56","509.26","234.56K","1.40%"
"Jun 10, 2018","523.44","592.55","592.55","500.49","316.08K","-11.76%"
"Jun 09, 2018","593.20","599.91","609.73","591.38","60.80K","-1.12%"
"Jun 08, 2018","599.90","604.35","608.43","593.07","77.90K","-0.91%"
"Jun 07, 2018","605.39","606.66","617.16","599.08","106.66K","-0.21%"
"Jun 06, 2018","606.67","608.71","611.99","593.19","100.34K","-0.33%"
"Jun 05, 2018","608.68","593.00","613.57","576.10","118.17K","2.98%"
"Jun 04, 2018","591.09","619.40","625.03","580.00","158.61K","-4.57%"
"Jun 03, 2018","619.39","590.45","628.69","590.04","126.91K","4.90%"
"Jun 02, 2018","590.44","579.24","600.00","573.90","149.63K","1.94%"
"Jun 01, 2018","579.23","577.00","589.81","564.35","153.82K","0.32%"
"May 31, 2018","577.41","557.10","586.54","553.18","187.67K","3.66%"
"May 30, 2018","557.01","567.15","585.17","542.00","198.94K","-1.74%"
"May 29, 2018","566.90","512.00","572.27","511.00","329.84K","10.72%"
"May 28, 2018","511.99","569.00","574.00","500.00","484.57K","-10.02%"
"May 27, 2018","569.00","584.63","591.94","553.23","266.25K","-2.83%"
"May 26, 2018","585.60","583.74","606.78","578.13","135.38K","0.20%"
"May 25, 2018","584.42","602.53","615.80","567.76","251.31K","-3.00%"
"May 24, 2018","602.52","576.89","608.50","540.00","415.41K","4.44%"
"May 23, 2018","576.90","640.00","649.49","564.04","418.70K","-9.93%"
"May 22, 2018","640.51","696.51","698.11","638.28","202.52K","-7.99%"
"May 21, 2018","696.13","715.50","719.68","686.74","84.90K","-2.71%"
"May 20, 2018","715.50","695.62","722.64","687.44","116.42K","2.82%"
"May 19, 2018","695.88","693.61","717.73","682.07","108.11K","0.33%"
"May 18, 2018","693.60","667.84","694.75","657.59","148.10K","3.86%"
"May 17, 2018","667.84","706.57","718.90","660.75","151.28K","-5.52%"
"May 16, 2018","706.89","705.07","709.99","659.00","182.20K","0.26%"
"May 15, 2018","705.06","727.42","739.29","694.97","174.35K","-3.07%"
"May 14, 2018","727.41","728.83","742.32","685.53","287.31K","-0.19%"
"May 13, 2018","728.78","683.44","740.00","668.82","205.65K","6.75%"